Date,Portfolio Value
2022-02-07 00:00:00-05:00,255866.59776166183
2022-02-08 00:00:00-05:00,256443.82706125383
2022-02-09 00:00:00-05:00,257860.8998946144
2022-02-10 00:00:00-05:00,257615.75115412823
2022-02-11 00:00:00-05:00,257293.0092219137
2022-02-14 00:00:00-05:00,255210.8793736324
2022-02-15 00:00:00-05:00,254890.98839011198
2022-02-16 00:00:00-05:00,254937.11067757072
2022-02-17 00:00:00-05:00,253493.70827939178
2022-02-18 00:00:00-05:00,252810.00106645914
2022-02-22 00:00:00-05:00,251153.15780383974
2022-02-23 00:00:00-05:00,248885.34310347904
2022-02-24 00:00:00-05:00,246848.06583763816
2022-02-25 00:00:00-05:00,248588.36938206945
2022-02-28 00:00:00-05:00,248302.0442009476
2022-03-01 00:00:00-05:00,245892.79542468506
2022-03-02 00:00:00-05:00,247364.88134100966
2022-03-03 00:00:00-05:00,247685.42336123527
2022-03-04 00:00:00-05:00,246007.87340246094
2022-03-07 00:00:00-05:00,242177.91831282873
2022-03-08 00:00:00-05:00,240654.43676236607
2022-03-09 00:00:00-05:00,244412.6205348992
2022-03-10 00:00:00-05:00,243956.79430968506
2022-03-11 00:00:00-05:00,244093.55410951586
2022-03-14 00:00:00-04:00,242810.13807350042
2022-03-15 00:00:00-04:00,243757.81485182975
2022-03-16 00:00:00-04:00,244945.03393943358
2022-03-17 00:00:00-04:00,247959.0344550378
2022-03-18 00:00:00-04:00,249478.8568586055
2022-03-21 00:00:00-04:00,253782.84022952465
2022-03-22 00:00:00-04:00,254502.61638995353
2022-03-23 00:00:00-04:00,253644.0475079851
2022-03-24 00:00:00-04:00,254705.71158793994
2022-03-25 00:00:00-04:00,257251.5000195924
2022-03-28 00:00:00-04:00,257867.05764894193
2022-03-29 00:00:00-04:00,258264.94510541542
2022-03-30 00:00:00-04:00,259410.06910107963
2022-03-31 00:00:00-04:00,258082.20007914255
2022-04-01 00:00:00-04:00,257493.18396903493
2022-04-04 00:00:00-04:00,257872.19116972093
2022-04-05 00:00:00-04:00,256944.1180375498
2022-04-06 00:00:00-04:00,254745.3566496687
2022-04-07 00:00:00-04:00,253635.7807003363
2022-04-08 00:00:00-04:00,252864.60973913834
2022-04-11 00:00:00-04:00,253272.66122774925
2022-04-12 00:00:00-04:00,253314.5385661827
2022-04-13 00:00:00-04:00,253884.0756623881
2022-04-14 00:00:00-04:00,253417.1490801711
2022-04-18 00:00:00-04:00,253456.35357026654
2022-04-19 00:00:00-04:00,255137.3496538667
2022-04-20 00:00:00-04:00,256594.12230913603
2022-04-21 00:00:00-04:00,256971.09375164006
2022-04-22 00:00:00-04:00,253642.50985103095
2022-04-25 00:00:00-04:00,253668.48808555826
2022-04-26 00:00:00-04:00,250260.96534470952
2022-04-27 00:00:00-04:00,248899.67020582032
2022-04-28 00:00:00-04:00,248450.53049253242
2022-04-29 00:00:00-04:00,247053.18541516596
2022-05-02 00:00:00-04:00,246210.29945343424
2022-05-03 00:00:00-04:00,246038.98745806015
2022-05-04 00:00:00-04:00,247676.37007254353
2022-05-05 00:00:00-04:00,246948.33622296088
2022-05-06 00:00:00-04:00,245201.32304861097
